T22,Major trading partners,,,,,,,
Region/Country/Area,,Year,Series,Major trading partner 1 (% of exports),Major trading partner 1 (% of exports) footnote,Value,Footnotes,Source
12,Algeria,2015,Major trading partner 1 (% of exports),Italy,,15.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
12,Algeria,2020,Major trading partner 1 (% of exports),Italy,,16.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
12,Algeria,2024,Major trading partner 1 (% of exports),Italy,,24.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
12,Algeria,2015,Major trading partner 1 (% of imports),China,,15.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
12,Algeria,2020,Major trading partner 1 (% of imports),China,,16.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
12,Algeria,2024,Major trading partner 1 (% of imports),China,,25.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
12,Algeria,2015,Major trading partner 2 (% of exports),France,,13.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
12,Algeria,2020,Major trading partner 2 (% of exports),France,,13.7,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
12,Algeria,2024,Major trading partner 2 (% of exports),France,,14.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
12,Algeria,2015,Major trading partner 2 (% of imports),France,,10.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
12,Algeria,2020,Major trading partner 2 (% of imports),France,,13.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
12,Algeria,2024,Major trading partner 2 (% of imports),France,,11.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
12,Algeria,2015,Major trading partner 3 (% of exports),Spain,,17.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
12,Algeria,2020,Major trading partner 3 (% of exports),Spain,,12.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
12,Algeria,2024,Major trading partner 3 (% of exports),Spain,,12.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
12,Algeria,2015,Major trading partner 3 (% of imports),Italy,,9.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
12,Algeria,2020,Major trading partner 3 (% of imports),Italy,,6.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
12,Algeria,2024,Major trading partner 3 (% of imports),Italy,,6.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
24,Angola,2015,Major trading partner 1 (% of exports),China,,42.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
24,Angola,2020,Major trading partner 1 (% of exports),China,,59.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
